feature	mean_M	mean_S	delta_S_minus_M
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli	0.019088596360806162	0.09808741789926172	0.07899882153845555
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Akkermansia.s__Akkermansia_muciniphila	0.0	0.030965266183641746	0.030965266183641746
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0.0	0.02193443125316593	0.02193443125316593
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Parasutterella.s__Parasutterella_excrementihominis	0.006702116008147241	0.025631367556015052	0.01892925154786781
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Hungatella.s__Hungatella_hathewayi	0.004436229782355584	0.02304178666124476	0.018605556878889176
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eubacterium.s__Eubacterium_sp_CAG_38	0.0039829061047527954	0.019090146062804177	0.015107239958051383
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Streptococcus.s__Streptococcus_thermophilus	0.0	0.013392895341698319	0.013392895341698319
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Roseburia.s__Roseburia_intestinalis	0.01994754315309432	0.03250450631004978	0.01255696315695546
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Flavonifractor.s__Flavonifractor_plautii	0.005839186239675642	0.01831397287912963	0.01247478663945399
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Ruminococcus.s__Ruminococcus_bicirculans	0.03528763542455436	0.04490326354497234	0.009615628120417975
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Enterobacter.s__Enterobacter_bugandensis	0.0	0.008868338652949266	0.008868338652949266
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Klebsiella.s__Klebsiella_pneumoniae	0.013698728234208443	0.019668504162277802	0.005969775928069359
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bilophila.s__Bilophila_wadsworthia	0.004975271100535517	0.0102776509918367	0.005302379891301183
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Butyrivibrio.s__Butyrivibrio_crossotus	0.0	0.005290264200089671	0.005290264200089671
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Hungatella.s__Hungatella_effluvii	0.0	0.004921778562406069	0.004921778562406069
