sample_id	run_accession	group	shannon	richness
DRR764581.metaphlan	DRR764581	M	3.512967	239
DRR764582.metaphlan	DRR764582	M	3.841624	209
DRR764583.metaphlan	DRR764583	M	3.788521	209
DRR764584.metaphlan	DRR764584	M	3.857280	217
DRR764585.metaphlan	DRR764585	M	3.678386	142
DRR764586.metaphlan	DRR764586	M	3.964746	242
DRR764587.metaphlan	DRR764587	M	3.047561	173
DRR764588.metaphlan	DRR764588	M	3.583211	228
DRR764589.metaphlan	DRR764589	M	4.059422	347
DRR764590.metaphlan	DRR764590	S	3.456033	166
DRR764591.metaphlan	DRR764591	S	3.164312	126
DRR764592.metaphlan	DRR764592	S	2.977194	128
DRR764593.metaphlan	DRR764593	S	3.331196	152
DRR764594.metaphlan	DRR764594	S	3.393446	121
DRR764595.metaphlan	DRR764595	S	2.763151	63
DRR764596.metaphlan	DRR764596	S	2.109493	70
DRR764597.metaphlan	DRR764597	S	3.575322	167
DRR764598.metaphlan	DRR764598	S	3.020608	91
DRR764599.metaphlan	DRR764599	S	3.576842	162
DRR764600.metaphlan	DRR764600	S	3.091470	251
