clade_name	mean_clr_M	mean_clr_S	diff_S_minus_M	cohens_d	prev_M	prev_S	p_perm	q_fdr
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella_copri	1.007003	-0.823912	-1.830915	-0.279746	2	1	0.71914043	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Leyella|s__Leyella_stercorea	1.126400	-0.921600	-2.047999	-0.257952	3	2	0.59970015	0.94670407
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.768562	-0.628823	-1.397385	-0.338050	9	10	0.68265867	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wujia|s__Wujia_chipingensis	5.065202	-4.144257	-9.209459	-1.451622	6	1	0.01049475	0.40909091
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_hominis	3.502755	-2.865890	-6.368645	-0.966762	4	1	0.05697151	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	1.574643	-1.288345	-2.862988	-0.341108	5	4	0.59970015	0.94670407
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_rectalis	2.308172	-1.888505	-4.196677	-0.571861	8	7	0.21189405	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB74412|s__GGB74412_SGB5075	2.283715	-1.868494	-4.152210	-0.551277	4	2	0.26786607	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	3.358451	-2.747823	-6.106274	-0.766945	5	2	0.14742629	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.302332	-0.247363	-0.549694	-0.133117	9	10	0.98900550	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	3.274223	-2.678910	-5.953133	-1.139783	9	8	0.01149425	0.40909091
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4578|s__GGB4578_SGB6328	1.023996	-0.837815	-1.861811	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588|f__FGB94588|g__GGB51647|s__GGB51647_SGB4348	3.188431	-2.608716	-5.797147	-0.911797	4	1	0.07846077	0.65356152
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054|g__GGB9715|s__GGB9715_SGB15265	4.357674	-3.565369	-7.923043	-1.141764	6	2	0.02948526	0.55900621
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_plebeius	4.371902	-3.577011	-7.948913	-0.983267	6	2	0.06196902	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bicirculans_ex_Wegman_et_al_2014	2.484947	-2.033139	-4.518086	-0.562551	7	5	0.23738131	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis	4.990477	-4.083117	-9.073594	-1.230953	8	4	0.01099450	0.40909091
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	2.131297	-1.743788	-3.875085	-0.530911	4	2	0.30084958	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_coprocola	6.268600	-5.128855	-11.397455	-1.977238	6	0	0.00299850	0.32608696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4	3.949148	-3.231121	-7.180270	-0.944711	7	4	0.03848076	0.57943144
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	4.817826	-3.941858	-8.759683	-1.543517	8	3	0.00399800	0.32608696
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354|g__GGB3304|s__GGB3304_SGB4367	1.850493	-1.514040	-3.364533	-0.588389	3	1	0.22188906	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	-0.332636	0.272157	0.604793	0.088539	7	9	0.83058471	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	2.421116	-1.980913	-4.402028	-0.593509	8	7	0.22038981	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9602|s__GGB9602_SGB15031	2.811955	-2.300691	-5.112646	-0.879753	4	1	0.07796102	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_formicilis	4.424694	-3.620204	-8.044898	-1.166330	7	3	0.01899050	0.50490884
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2.632279	-2.153683	-4.785963	-0.785727	9	7	0.09545227	0.72240803
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_segnis	2.009401	-1.644056	-3.653457	-0.561069	8	7	0.24187906	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	2.688566	-2.199735	-4.888301	-0.699043	7	4	0.17041479	0.81449914
